Rk,Player,G,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team
118,Derek Dietrich,746,2013,2020,23-30,746,2513,2191,318,536,324,107,21,84,255,7,5,181,576,0.245,0.335,0.428,0.762,107,937,27,123,2,15,14,475H3D/9,"CIN,MIA,TEX"
119,Yuli Gurriel,735,2016,2022,32-38,735,3035,2792,377,801,513,190,5,93,408,18,9,177,339,0.287,0.331,0.458,0.79,113,1280,83,28,0,38,5,35D4H/67,HOU
120,Alex Bregman,734,2016,2022,22-28,734,3175,2702,465,748,419,189,12,128,443,35,10,404,444,0.277,0.376,0.498,0.873,136,1345,64,40,1,28,12,56D/4H7,HOU
121,Travis Shaw,733,2015,2022,25-32,733,2690,2374,310,563,319,127,3,114,366,20,4,275,650,0.237,0.319,0.437,0.757,98,1038,49,20,4,17,20,53H4D/7,"BOS,MIL,TOR"
122,Jorge Soler,728,2014,2022,22-30,728,2876,2510,338,609,333,139,3,134,377,10,5,298,778,0.243,0.328,0.461,0.789,110,1156,68,33,0,21,10,9D7H,"ATL,CHC,KCR,MIA"
123,Welington Castillo,726,2010,2019,23-32,726,2701,2462,251,626,401,126,1,98,339,5,0,183,691,0.254,0.313,0.426,0.738,98,1048,67,35,3,18,9,2HD/3,"ARI,BAL,CHC,CHW,SEA"
124,Corey Seager,720,2015,2022,21-28,720,3081,2749,440,799,488,174,12,125,412,15,6,290,560,0.291,0.361,0.499,0.86,130,1372,59,24,0,18,22,6HD/5,"LAD,TEX"
125,Mark Canha,719,2015,2022,26-33,719,2786,2393,386,592,369,114,13,96,325,30,10,285,606,0.247,0.347,0.426,0.773,115,1020,48,90,1,17,5,7839HD/5,"NYM,OAK"
126,Jorge Polanco,719,2014,2022,20-28,719,3049,2742,391,748,476,157,20,95,388,47,28,247,525,0.273,0.334,0.449,0.782,112,1230,40,17,16,27,3,64HD/5,MIN
127,Chris Owings,710,2013,2022,21-30,710,2464,2280,262,546,358,124,27,37,220,79,16,143,598,0.239,0.287,0.366,0.653,72,835,33,14,14,13,13,64H9857/1D,"ARI,BAL,BOS,COL,KCR"
128,Jesús Aguilar,709,2014,2022,24-32,709,2368,2082,272,537,331,100,2,104,379,1,1,218,549,0.258,0.329,0.458,0.787,109,953,64,20,0,36,8,3HD5,"CLE,MIA,MIL,TBR"
